Room #,Building
405A,Rush
405C,Rush
405B,Rush
401,Rush
405,Rush
406,Rush
409,Rush
411,Rush
412,Rush
414,Rush
413,Rush
415,Rush
417,Rush
418,Rush
419,Rush
420,Rush
424,Rush
422,Rush
423,Rush
425,Rush
429,Rush
426,Rush
421,Rush
416,Rush
410,Rush
408,Rush
410A,Rush
306,Rush
307,Rush
308,Rush
315,Rush
313,Rush
314,Rush
317,Rush
305C,Rush
312,Rush
331,Rush
332,Rush
333,Rush
334,Rush
335,Rush
336,Rush
231,Rush
205,Rush
209,Rush
213,Rush
OO6,Rush
OO8,Rush
OO9,Rush
O32,Rush
O10,Rush
O11,Rush
O12,Rush
O13,Rush
iCommons,Rush
137,Rush
4th floor printer nook,Rush
,Rush
202,Rush
135,Rush
134,Rush
133,Rush
132,Rush
32,Rush
1st floor lobby,Rush
206,Rush
207,Rush
208,Rush
210,Rush
232,Rush
233A,Rush
233B,Rush
233C,Rush
150,Ucross
152,Ucross
153,Ucross
151,Ucross
100I,Ucross
100,Ucross
100F,Ucross
100G,Ucross
100H,Ucross
100E,Ucross
100D,Ucross
100C,Ucross
100B,Ucross
100A,Ucross
100K,Ucross
100N,Ucross
100M,Ucross
325,Ucross
324,Ucross
104,Ucross
106,Ucross
105,Ucross
107,Ucross
108,Ucross
109,Ucross
111,Ucross
112,Ucross
114,Ucross
138,Ucross
136,Ucross
131,Ucross
130,Ucross
148,Ucross
146B,Ucross
146C,Ucross
142,Ucross
141,Ucross
140,Ucross
139,Ucross
110,Ucross
143,Ucross
145,Ucross
149,Ucross
147,Ucross
154 (server room),Ucross
Front Desk,SC
303,SC
305,SC
309,SC
310,SC
311,SC
Cubicles ,SC
316,SC
318,SC
319,SC
320,SC
321,SC
322,SC
323,SC
